('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         661467 function calls (635819 primitive calls) in 1.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      146    0.662    0.005    0.662    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.063    0.063    0.064    0.064 {built-in method _socket.getaddrinfo}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
 3450/232    0.028    0.000    0.080    0.000 sre_parse.py:493(_parse)
      243    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
 4505/193    0.016    0.000    0.045    0.000 sre_compile.py:71(_compile)
     1005    0.014    0.000    0.018    0.000 sre_compile.py:276(_optimize_charset)
       26    0.011    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
91973/91953    0.010    0.000    0.013    0.000 {built-in method builtins.isinstance}
5570/1344    0.009    0.000    0.018    0.000 element.py:2156(_matches)
    11960    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
     1255    0.009    0.000    0.042    0.000 parser.py:300(parse_starttag)
    23696    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
  741/719    0.008    0.000    0.099    0.000 {built-in method builtins.__build_class__}
    25858    0.008    0.000    0.011    0.000 sre_parse.py:164(__getitem__)
 4787/648    0.007    0.000    0.009    0.000 sre_parse.py:174(getwidth)
        2    0.006    0.003    0.071    0.036 parser.py:133(goahead)
58640/53109    0.006    0.000    0.008    0.000 {built-in method builtins.len}
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 1362/194    0.006    0.000    0.081    0.000 sre_parse.py:435(_parse_sub)
    64810    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     1240    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      243    0.005    0.000    0.005    0.000 {built-in method io.open_code}
    15607    0.005    0.000    0.010    0.000 sre_parse.py:254(get)
      152    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    298/1    0.004    0.000    1.271    1.271 {built-in method builtins.exec}
        1    0.004    0.004    0.030    0.030 dammit.py:2313(_populate_class_variables)
     1256    0.004    0.000    0.011    0.000 element.py:1152(__init__)
      581    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
      927    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x103dbd300}
    12010    0.003    0.000    0.006    0.000 sre_parse.py:249(match)
     1255    0.003    0.000    0.018    0.000 __init__.py:691(handle_starttag)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxies}
     1188    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
     3670    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3074    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1255    0.003    0.000    0.022    0.000 _htmlparser.py:119(handle_starttag)
     1411    0.002    0.000    0.022    0.000 element.py:2060(search_tag)
      950    0.002    0.000    0.005    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
    10369    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     1256    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1255    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     3317    0.002    0.000    0.004    0.000 typing.py:972(__setattr__)
     2104    0.002    0.000    0.002    0.000 element.py:158(setup)
     4894    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
      243    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
    11368    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       25    0.002    0.000    0.005    0.000 enum.py:180(__new__)
14630/14613    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
     4892    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     3074    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    10035    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     6215    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     5088    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
      291    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      814    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1255    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     3518    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      335    0.002    0.000    0.138    0.000 re.py:288(_compile)
     2515    0.002    0.000    0.005    0.000 __init__.py:555(endData)
      720    0.002    0.000    0.004    0.000 typing.py:146(_type_check)
      243    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     1847    0.002    0.000    0.024    0.000 element.py:2123(search)
    11647    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5306    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      486    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     4715    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
      424    0.001    0.000    0.002    0.000 typing.py:205(_collect_type_vars)
     1005    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      124    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      397    0.001    0.000    0.008    0.000 typing.py:1002(__init__)
    296/4    0.001    0.000    0.297    0.074 <frozen importlib._bootstrap>:1022(_find_and_load)
     1255    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     3317    0.001    0.000    0.002    0.000 typing.py:921(_is_dunder)
     5134    0.001    0.000    0.002    0.000 element.py:2023(_normalize_search_value)
     5914    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
      154    0.001    0.000    0.674    0.004 http11.py:166(_receive_event)
      367    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        4    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      460    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
