('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569302 function calls (546289 primitive calls) in 6.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.003    5.003    5.003    5.003 {built-in method time.sleep}
      145    0.648    0.004    0.648    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.067    0.067    0.067    0.067 {built-in method _socket.gethostbyname}
        1    0.058    0.058    0.058    0.058 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.057    0.057    0.057    0.057 {method 'connect' of '_socket.socket' objects}
 3212/200    0.024    0.000    0.070    0.000 sre_parse.py:493(_parse)
 3965/191    0.014    0.000    0.033    0.000 sre_compile.py:71(_compile)
      150    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
       22    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
5570/1344    0.009    0.000    0.017    0.000 element.py:2156(_matches)
     1255    0.009    0.000    0.043    0.000 parser.py:300(parse_starttag)
    11943    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
    80743    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
    22058    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      889    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
        2    0.007    0.003    0.072    0.036 parser.py:133(goahead)
    23198    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
 3968/367    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
  501/500    0.006    0.000    0.084    0.000 {built-in method builtins.__build_class__}
51907/47165    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    59208    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
 1207/192    0.005    0.000    0.070    0.000 sre_parse.py:435(_parse_sub)
    14879    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
     1256    0.004    0.000    0.012    0.000 element.py:1152(__init__)
        1    0.004    0.004    0.030    0.030 dammit.py:2313(_populate_class_variables)
       32    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      866    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      782    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10f18d300}
      950    0.003    0.000    0.006    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
      150    0.003    0.000    0.003    0.000 {built-in method io.open_code}
     1255    0.003    0.000    0.019    0.000 __init__.py:691(handle_starttag)
      451    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
     1188    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
     1255    0.003    0.000    0.023    0.000 _htmlparser.py:119(handle_starttag)
    10427    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     3688    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1411    0.002    0.000    0.021    0.000 element.py:2060(search_tag)
     1256    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1255    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
     2104    0.002    0.000    0.002    0.000 element.py:158(setup)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     9485    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     4894    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
     1255    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     5836    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     4640    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
13712/12571    0.002    0.000    0.028    0.000 {built-in method builtins.hasattr}
    10202    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2515    0.002    0.000    0.005    0.000 __init__.py:555(endData)
      809    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1847    0.002    0.000    0.023    0.000 element.py:2123(search)
