('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.704    0.005    0.704    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.057    0.057    0.057    0.057 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.054    0.054    0.054    0.054 {method 'connect' of '_socket.socket' objects}
        1    0.032    0.032    0.032    0.032 {built-in method _socket.gethostbyname}
 3212/200    0.024    0.000    0.069    0.000 sre_parse.py:493(_parse)
 3965/191    0.014    0.000    0.033    0.000 sre_compile.py:71(_compile)
      150    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
       22    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
5570/1344    0.009    0.000    0.017    0.000 element.py:2156(_matches)
     1255    0.009    0.000    0.042    0.000 parser.py:300(parse_starttag)
    11942    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
    80753    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
    22058    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      889    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
    23209    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
        2    0.007    0.003    0.071    0.035 parser.py:133(goahead)
 3968/367    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
  501/500    0.006    0.000    0.084    0.000 {built-in method builtins.__build_class__}
51927/47174    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    59216    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
 1207/192    0.005    0.000    0.070    0.000 sre_parse.py:435(_parse_sub)
    14879    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
       32    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1256    0.004    0.000    0.012    0.000 element.py:1152(__init__)
        1    0.004    0.004    0.030    0.030 dammit.py:2313(_populate_class_variables)
      782    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10a6b9300}
      866    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      950    0.003    0.000    0.006    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
      150    0.003    0.000    0.003    0.000 {built-in method io.open_code}
     1255    0.003    0.000    0.018    0.000 __init__.py:691(handle_starttag)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
      451    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
     1188    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
     1255    0.003    0.000    0.022    0.000 _htmlparser.py:119(handle_starttag)
    10427    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     3688    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1411    0.002    0.000    0.021    0.000 element.py:2060(search_tag)
     1256    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1255    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     2104    0.002    0.000    0.002    0.000 element.py:158(setup)
     9496    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     4894    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
    10202    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     1255    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     5836    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
13712/12571    0.002    0.000    0.027    0.000 {built-in method builtins.hasattr}
     4640    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     2515    0.002    0.000    0.005    0.000 __init__.py:555(endData)
      809    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      334    0.002    0.000    0.116    0.000 re.py:288(_compile)
     1847    0.002    0.000    0.023    0.000 element.py:2123(search)
     5296    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     7774    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      204    0.001    0.000    0.162    0.001 {method 'read' of '_io.BufferedReader' objects}
     2336    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    11084    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     2336    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      125    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
       16    0.001    0.000    0.003    0.000 enum.py:180(__new__)
     1255    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     5134    0.001    0.000    0.002    0.000 element.py:2023(_normalize_search_value)
      889    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
     4108    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     5938    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
        1    0.001    0.001    0.001    0.001 connectionpool.py:483(close)
     2879    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
       42    0.001    0.000    0.026    0.001 element.py:780(_find_all)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
  199/163    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       22    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.001    0.001    0.001    0.001 models.py:845(text)
     1055    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     1255    0.001    0.000    0.010    0.000 __init__.py:729(handle_endtag)
      150    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      197    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
     5938    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     1684    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
3853/3785    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      300    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      268    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      191    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      812    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
    201/3    0.001    0.000    0.219    0.073 <frozen importlib._bootstrap>:1022(_find_and_load)
     6046    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4193    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      191    0.001    0.000    0.113    0.001 sre_compile.py:759(compile)
     3665    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1255    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
      424    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
     7687    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1358    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     6309    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      178    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    178/3    0.001    0.000    0.218    0.073 <frozen importlib._bootstrap>:664(_load_unlocked)
      150    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     1255    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
      279    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
     2731    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       17    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       11    0.001    0.000    0.180    0.016 {method 'join' of 'bytes' objects}
     2464    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1001    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      877    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
